Img_Path,Labels
MURA-v1.1/data/val/1/0.png,1
MURA-v1.1/data/val/1/1.png,1
MURA-v1.1/data/val/1/2.png,1
MURA-v1.1/data/val/1/3.png,1
MURA-v1.1/data/val/1/4.png,1
MURA-v1.1/data/val/1/5.png,1
MURA-v1.1/data/val/1/6.png,1
MURA-v1.1/data/val/1/7.png,1
MURA-v1.1/data/val/1/8.png,1
MURA-v1.1/data/val/1/9.png,1
MURA-v1.1/data/val/1/10.png,1
MURA-v1.1/data/val/1/11.png,1
MURA-v1.1/data/val/1/12.png,1
MURA-v1.1/data/val/1/13.png,1
MURA-v1.1/data/val/1/14.png,1
MURA-v1.1/data/val/1/15.png,1
MURA-v1.1/data/val/1/16.png,1
MURA-v1.1/data/val/1/17.png,1
MURA-v1.1/data/val/1/18.png,1
MURA-v1.1/data/val/1/19.png,1
MURA-v1.1/data/val/1/20.png,1
MURA-v1.1/data/val/1/21.png,1
MURA-v1.1/data/val/1/22.png,1
MURA-v1.1/data/val/1/23.png,1
MURA-v1.1/data/val/1/24.png,1
MURA-v1.1/data/val/1/25.png,1
MURA-v1.1/data/val/1/26.png,1
MURA-v1.1/data/val/1/27.png,1
MURA-v1.1/data/val/1/28.png,1
MURA-v1.1/data/val/1/29.png,1
MURA-v1.1/data/val/1/30.png,1
MURA-v1.1/data/val/1/31.png,1
MURA-v1.1/data/val/1/32.png,1
MURA-v1.1/data/val/1/33.png,1
MURA-v1.1/data/val/1/34.png,1
MURA-v1.1/data/val/1/35.png,1
MURA-v1.1/data/val/1/36.png,1
MURA-v1.1/data/val/1/37.png,1
MURA-v1.1/data/val/1/38.png,1
MURA-v1.1/data/val/1/39.png,1
MURA-v1.1/data/val/1/40.png,1
MURA-v1.1/data/val/1/41.png,1
MURA-v1.1/data/val/1/42.png,1
MURA-v1.1/data/val/1/43.png,1
MURA-v1.1/data/val/1/44.png,1
MURA-v1.1/data/val/1/45.png,1
MURA-v1.1/data/val/1/46.png,1
MURA-v1.1/data/val/1/47.png,1
MURA-v1.1/data/val/1/48.png,1
MURA-v1.1/data/val/0/49.png,0
MURA-v1.1/data/val/0/50.png,0
MURA-v1.1/data/val/1/51.png,1
MURA-v1.1/data/val/1/52.png,1
MURA-v1.1/data/val/1/53.png,1
MURA-v1.1/data/val/1/54.png,1
MURA-v1.1/data/val/1/55.png,1
MURA-v1.1/data/val/1/56.png,1
MURA-v1.1/data/val/1/57.png,1
MURA-v1.1/data/val/1/58.png,1
MURA-v1.1/data/val/1/59.png,1
MURA-v1.1/data/val/1/60.png,1
MURA-v1.1/data/val/1/61.png,1
MURA-v1.1/data/val/1/62.png,1
MURA-v1.1/data/val/1/63.png,1
MURA-v1.1/data/val/1/64.png,1
MURA-v1.1/data/val/1/65.png,1
MURA-v1.1/data/val/1/66.png,1
